date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:34:23	65241/65241	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Aug%202021%2000:22:14%20GMT	https://themewar.com/html/makeover/index2.html	D:/Pycharmprojects/makeover/themewar.com/html/makeover/index2.html	(from )
09:34:24	633/633	---MCZ	200	added ('OK')	text/plain	date:Sat,%2015%20Nov%202025%2004:04:22%20GMT	https://themewar.com/robots.txt		(from )
09:34:24	197170/197170	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20May%202021%2019:27:44%20GMT	https://themewar.com/html/makeover/css/bootstrap.css	D:/Pycharmprojects/makeover/themewar.com/html/makeover/css/bootstrap.css	(from https://themewar.com/html/makeover/index2.html)
09:34:24	1013/1013	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20May%202021%2017:08:24%20GMT	https://themewar.com/html/makeover/css/owl.theme.default.min.css	D:/Pycharmprojects/makeover/themewar.com/html/makeover/css/owl.theme.default.min.css	(from https://themewar.com/html/makeover/index2.html)
09:34:24	3351/3351	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20May%202021%2017:08:24%20GMT	https://themewar.com/html/makeover/css/owl.carousel.min.css	D:/Pycharmprojects/makeover/themewar.com/html/makeover/css/owl.carousel.min.css	(from https://themewar.com/html/makeover/index2.html)
09:34:25	77906/77906	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20May%202021%2018:15:02%20GMT	https://themewar.com/html/makeover/css/animate.css	D:/Pycharmprojects/makeover/themewar.com/html/makeover/css/animate.css	(from https://themewar.com/html/makeover/index2.html)
09:34:25	116688/116688	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20May%202021%2019:18:10%20GMT	https://themewar.com/html/makeover/css/icofont.css	D:/Pycharmprojects/makeover/themewar.com/html/makeover/css/icofont.css	(from https://themewar.com/html/makeover/index2.html)
09:34:25	1670/1670	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20Mar%202021%2020:58:12%20GMT	https://themewar.com/html/makeover/css/nounicon.css	D:/Pycharmprojects/makeover/themewar.com/html/makeover/css/nounicon.css	(from https://themewar.com/html/makeover/index2.html)
09:34:25	1675/1675	---M-Z	200	added ('OK')	text/css	date:Mon,%2007%20Jun%202021%2016:52:34%20GMT	https://themewar.com/html/makeover/css/makeover-icon.css	D:/Pycharmprojects/makeover/themewar.com/html/makeover/css/makeover-icon.css	(from https://themewar.com/html/makeover/index2.html)
09:34:25	4007/4007	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20May%202016%2015:32:26%20GMT	https://themewar.com/html/makeover/css/nice-select.css	D:/Pycharmprojects/makeover/themewar.com/html/makeover/css/nice-select.css	(from https://themewar.com/html/makeover/index2.html)
09:34:26	16515/16515	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20May%202021%2001:09:54%20GMT	https://themewar.com/html/makeover/css/jquery.datetimepicker.min.css	D:/Pycharmprojects/makeover/themewar.com/html/makeover/css/jquery.datetimepicker.min.css	(from https://themewar.com/html/makeover/index2.html)
09:34:26	1776/1776	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20May%202021%2017:20:50%20GMT	https://themewar.com/html/makeover/css/slick.css	D:/Pycharmprojects/makeover/themewar.com/html/makeover/css/slick.css	(from https://themewar.com/html/makeover/index2.html)
09:34:26	16382/16382	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20May%202021%2021:26:36%20GMT	https://themewar.com/html/makeover/css/lightcase.css	D:/Pycharmprojects/makeover/themewar.com/html/makeover/css/lightcase.css	(from https://themewar.com/html/makeover/index2.html)
